cordon,zone_ext,direction,flux_type,charge,classe_distance,nb_pl_jour,distance_km,dep_ext,reg_ext,mz_ext,com_ext
chalon,452,sortant,I,V,D2,0.03,180.4,39.0,1.0,,39297.0
chalon,457,sortant,I,C,D2,0.02,110.4,39.0,1.0,30.0,39198.0
chalon,457,sortant,I,V,D2,0.02,110.4,39.0,1.0,30.0,39198.0
chalon,464,sortant,I,C,D2,0.12,106.4,89.0,1.0,22.0,89321.0
chalon,464,sortant,I,V,D2,0.09,106.4,89.0,1.0,22.0,89321.0
chalon,465,entrant,I,C,D2,0.4,141.8,58.0,1.0,1.0,58194.0
chalon,465,entrant,I,V,D2,0.24,142.5,58.0,1.0,1.0,58194.0
chalon,465,sortant,I,C,D2,0.21,150.5,58.0,1.0,1.0,58194.0
chalon,465,sortant,I,V,D2,0.15,150.5,58.0,1.0,1.0,58194.0
chalon,468,entrant,I,C,D2,0.02,199.2,90.0,1.0,17.0,90010.0
chalon,468,entrant,I,C,D3,0.02,200.5,90.0,1.0,17.0,90010.0
chalon,468,entrant,I,V,D2,0.0,199.3,90.0,1.0,17.0,90010.0
chalon,468,entrant,I,V,D3,0.0,200.5,90.0,1.0,17.0,90010.0
chalon,468,sortant,I,C,D2,0.05,198.0,90.0,1.0,17.0,90010.0
chalon,468,sortant,I,C,D3,0.04,230.8,90.0,1.0,17.0,90010.0
chalon,468,sortant,I,V,D2,0.01,198.1,90.0,1.0,17.0,90010.0
chalon,468,sortant,I,V,D3,0.01,230.8,90.0,1.0,17.0,90010.0
chalon,469,entrant,I,C,D2,0.07,113.6,21.0,1.0,27.0,21231.0
chalon,469,entrant,I,V,D2,0.04,113.6,21.0,1.0,27.0,21231.0
chalon,469,sortant,I,C,D2,0.04,116.2,21.0,1.0,27.0,21231.0
chalon,469,sortant,I,V,D2,0.05,111.4,21.0,1.0,27.0,21231.0
chalon,471,sortant,I,C,D2,0.02,128.6,21.0,1.0,7.0,21499.0
chalon,471,sortant,I,V,D2,0.02,128.6,21.0,1.0,7.0,21499.0
chalon,472,entrant,I,C,D2,5.27,118.5,89.0,1.0,,89025.0
chalon,472,entrant,I,V,D2,0.35,118.4,89.0,1.0,,89025.0
chalon,472,sortant,I,C,D2,3.72,123.7,89.0,1.0,,89025.0
chalon,472,sortant,I,V,D2,2.0,123.7,89.0,1.0,,89025.0
chalon,473,entrant,I,C,D2,0.01,197.9,89.0,1.0,4.0,89196.0
chalon,473,entrant,I,V,D2,0.0,197.9,89.0,1.0,4.0,89196.0
chalon,475,entrant,I,C,D2,0.03,159.7,25.0,1.0,,25309.0
chalon,475,entrant,I,V,D2,0.02,159.7,25.0,1.0,,25309.0
chalon,475,sortant,I,C,D2,0.04,159.5,25.0,1.0,,25309.0
chalon,475,sortant,I,V,D2,0.01,159.5,25.0,1.0,,25309.0
